alpha0,alpha1,sensitivity,specificity,ambi,total_count
0.025,0.025,0.5823019765777296,0.5144389395073571,0.7880513051305129,404
0.025,0.05,0.5371699639017671,0.6060643517085602,0.7422367236723671,404
0.025,0.075,0.5047442217041048,0.6818894340349764,0.6985598559855982,404
0.025,0.1,0.46547029469237494,0.7553217771856229,0.6458370837083709,404
0.025,0.125,0.43226072405537674,0.8041254077932205,0.5891314131413141,404
0.025,0.15,0.40457920615409115,0.8462458700509421,0.5405490549054904,404
0.025,0.175,0.37660890937793595,0.879249170565931,0.49468946894689486,404
0.025,0.2,0.3558993385970227,0.9014851444841584,0.45085508550855097,404
0.05,0.025,0.7520214479369975,0.484942240234289,0.7185418541854186,404
0.05,0.05,0.6997524716227724,0.5720709527922924,0.6727272727272731,404
0.05,0.075,0.6560643532994979,0.6470296984617161,0.6295004500450047,404
0.05,0.1,0.6104785451097636,0.7167491703726759,0.5767776777677768,404
0.05,0.125,0.5661716148332095,0.7616336590974008,0.52007200720072,404
0.05,0.15,0.5332920771384834,0.8033415800734944,0.47148964896489626,404
0.05,0.175,0.4969884470985356,0.8372937254372798,0.4256300630063007,404
0.05,0.2,0.47037953639443053,0.8604785442038918,0.3817956795679569,404
0.075,0.025,0.8511963654278673,0.4633663329290843,0.6615886588658867,404
0.075,0.05,0.787046201108939,0.5480197979623351,0.6157740774077407,404
0.075,0.075,0.7391501619764235,0.6192244182376924,0.5735373537353735,404
0.075,0.1,0.6902640237587734,0.689892734998068,0.5210621062106211,404
0.075,0.125,0.6433168294211496,0.7339521412156419,0.46435643564356455,404
0.075,0.15,0.6062293709400096,0.7749999961804044,0.41577407740774075,404
0.075,0.175,0.5693894372247387,0.80837458378015,0.36991449144914496,404
0.075,0.2,0.5404702954974079,0.8343646830165364,0.328937893789379,404
0.1,0.025,0.8903877848473527,0.43036303303703244,0.6146489648964896,404
0.1,0.05,0.8292904256951046,0.5121287093113448,0.5688343834383436,404
0.1,0.075,0.777722769410176,0.5782178180958331,0.5273402340234025,404
0.1,0.1,0.7258250800507561,0.6482260688100182,0.4748649864986497,404
0.1,0.125,0.6796204599258252,0.6896452110121768,0.418159315931593,404
0.1,0.15,0.6429455426845775,0.7325907556879403,0.36982448244824484,404
0.1,0.175,0.6082508234430829,0.7707508217277161,0.3263726372637263,404
0.1,0.2,0.578506599194025,0.7975660034462941,0.28773627362736265,404
0.125,0.025,0.9129125376572951,0.4012788750002132,0.5714221422142215,404
0.125,0.05,0.8564768945498006,0.48259075587647154,0.5268226822682269,404
0.125,0.075,0.8073019774829964,0.5481435610141707,0.4853285328532854,404
0.125,0.1,0.7565181494561604,0.6170792044632427,0.43285328532853296,404
0.125,0.125,0.7109735953087322,0.6594059373924089,0.3775427542754274,404
0.125,0.15,0.6724422424328934,0.703382835157866,0.3325607560756076,404
0.125,0.175,0.6381600644240717,0.7431518120486938,0.2907065706570657,404
0.125,0.2,0.6096947180215688,0.7721534623609118,0.25465796579657973,404
0.15,0.025,0.9299504917088556,0.377764023821583,0.5306930693069305,404
0.15,0.05,0.8743811851887036,0.45396039321398524,0.48631863186318625,404
0.15,0.075,0.8261138588425124,0.5186468616990236,0.44482448244824496,404
0.15,0.1,0.7766914169131671,0.5843646833938051,0.3937443744374438,404
0.15,0.125,0.7332095689813599,0.6256188090310437,0.33985148514851476,404
0.15,0.15,0.695214519717038,0.6661716144330584,0.29768226822682264,404
0.15,0.175,0.6621699654463901,0.7056518124162885,0.263118811881188,404
0.15,0.2,0.633993397912294,0.7362623735531558,0.23152565256525648,404
0.175,0.025,0.9455032971385935,0.3623762352075909,0.4954320432043204,404
0.175,0.05,0.8900164988583061,0.4334158389836221,0.45155265526552657,404
0.175,0.075,0.8433580833487281,0.49278052533233635,0.41129612961296114,404
0.175,0.1,0.79546204402225,0.5595709542447883,0.36091359135913575,404
0.175,0.125,0.752062704329689,0.6011551128670656,0.3103285328532853,404
0.175,0.15,0.7147689751779289,0.6437706244767262,0.27259225922592256,404
0.175,0.175,0.6819719456480542,0.684240921456326,0.24232673267326735,404
0.175,0.2,0.6523927378590625,0.7157178191862419,0.21579657965796578,404
0.2,0.025,0.9519389408667152,0.3283415821748967,0.459045904590459,404
0.2,0.05,0.8981848158205862,0.39830857866209424,0.4164041404140414,404
0.2,0.075,0.8542491725376171,0.4579620438592066,0.37662016201620163,404
0.2,0.1,0.8056105589653054,0.5254125387413229,0.3285778577857786,404
0.2,0.125,0.7625412522520764,0.5691831659182547,0.28386588658865886,404
0.2,0.15,0.7269801963317242,0.6095709547574122,0.24851485148514857,404
0.2,0.175,0.6952970281739688,0.6504950471016506,0.22247974797479747,404
0.2,0.2,0.6646452131204139,0.6820957071868262,0.20038253825382538,404
